Account,InsatnceId,InsatnceName,Tags,SecurityGroup,FromPort,IpRanges
303747409146,i-07ebf21242baa4df6,dtsrv-002,"[{u'Value': 'Cc', u'Key': 'Environment'}, {u'Value': 'DynatraceServers', u'Key': 'aws:cloudformation:stack-name'}, {u'Value': 'dtsrv-002', u'Key': 'Name'}, {u'Value': 'Dynatrace Server', u'Key': 'Function'}, {u'Value': 'arn:aws:cloudformation:eu-central-1:303747409146:stack/DynatraceServers/4739b350-de3b-11e7-8d86-50a68ad4f2fe', u'Key': 'aws:cloudformation:stack-id'}, {u'Value': 'D-IT-BVG1.CO-CLOUD-CC', u'Key': 'ManagedBy'}, {u'Value': 'dtsrv002', u'Key': 'aws:cloudformation:logical-id'}, {u'Value': 'Dynatrace', u'Key': 'Application'}]",Dynatrace-server-secgroup,22,['0.0.0.0/0']
303747409146,i-0274b7be9b32af318,Pentest JumpServer,"[{u'Value': 'Wirtz (czh8gs5)', u'Key': 'Owner'}, {u'Value': 'Pentest JumpServer', u'Key': 'Name'}]",PentestJumpserver,22,['0.0.0.0/0']
303747409146,i-0c3115b283e7afd06,dtsrv-001,"[{u'Value': '', u'Key': 'ManagedBy'}, {u'Value': 'Dynatrace', u'Key': 'Application'}, {u'Value': 'g9263', u'Key': 'CreatedBy'}, {u'Value': 'dtsrv-001', u'Key': 'Name'}, {u'Value': 'Cc', u'Key': 'Environment'}, {u'Value': '', u'Key': 'CostCenter'}, {u'Value': 'Dynatrace Server', u'Key': 'Function'}]",Dynatrace-server-secgroup,22,['0.0.0.0/0']
303747409146,i-06d977f47b4c29324,absweb_test2,"[{u'Value': 'CC', u'Key': 'Environment'}, {u'Value': 'absweb', u'Key': 'Application'}, {u'Value': 'absweb_test2', u'Key': 'Name'}, {u'Value': '1882020', u'Key': 'Costcenter'}, {u'Value': 'ls91ny - Nguyen Phu Duc', u'Key': 'CreatedBy'}, {u'Value': 'test', u'Key': 'Stage'}, {u'Value': 'Proxy', u'Key': 'Function'}, {u'Value': 'AMOS.ADR.A2-ARCH', u'Key': 'ManagedBy'}]",absweb proxy dev,22,['0.0.0.0/0']
303747409146,i-01a74835d87560a32,psec-oauth-test-asg,"[{u'Value': 'arn:aws:cloudformation:eu-central-1:303747409146:stack/psec-oauth-test-asg-2018-03-21--12-31-58/d914a200-2d03-11e8-9a40-50fafb4f9cae', u'Key': 'aws:cloudformation:stack-id'}, {u'Value': 'AutoScalingGroup', u'Key': 'aws:cloudformation:logical-id'}, {u'Value': 'psec-oauth-test-asg', u'Key': 'Name'}, {u'Value': 'D-IT-KUV2', u'Key': 'ManagedBy'}, {u'Value': 'OAuth-Provider', u'Key': 'Application'}, {u'Value': 'D-IT-KUV2', u'Key': 'CreatedBy'}, {u'Value': 'psec-oauth-test-asg-2018-03-21-12-31-58-AutoScalingGroup-823YY0TUU8GX', u'Key': 'aws:autoscaling:groupName'}, {u'Value': '2018.03-10', u'Key': 'ApplicationVersion'}, {u'Value': 'test', u'Key': 'Stage'}, {u'Value': 'OAuth-Provider', u'Key': 'Function'}, {u'Value': 'psec-oauth-test-asg-2018-03-21--12-31-58', u'Key': 'aws:cloudformation:stack-name'}, {u'Value': '', u'Key': 'CostCenter'}, {u'Value': 'Dev', u'Key': 'Environment'}]",psec-oauth-test-asg-2018-03-21-12-31-58-SecurityGroup-1TFA894YYJFM8,22,['0.0.0.0/0']
303747409146,i-0682c1d79d3cf6741,psec-oauth-test-asg,"[{u'Value': 'D-IT-KUV2', u'Key': 'ManagedBy'}, {u'Value': 'Dev', u'Key': 'Environment'}, {u'Value': 'psec-oauth-test-asg-2018-03-21-12-31-58-AutoScalingGroup-823YY0TUU8GX', u'Key': 'aws:autoscaling:groupName'}, {u'Value': 'test', u'Key': 'Stage'}, {u'Value': 'D-IT-KUV2', u'Key': 'CreatedBy'}, {u'Value': '2018.03-10', u'Key': 'ApplicationVersion'}, {u'Value': 'psec-oauth-test-asg', u'Key': 'Name'}, {u'Value': 'OAuth-Provider', u'Key': 'Application'}, {u'Value': 'psec-oauth-test-asg-2018-03-21--12-31-58', u'Key': 'aws:cloudformation:stack-name'}, {u'Value': 'OAuth-Provider', u'Key': 'Function'}, {u'Value': 'arn:aws:cloudformation:eu-central-1:303747409146:stack/psec-oauth-test-asg-2018-03-21--12-31-58/d914a200-2d03-11e8-9a40-50fafb4f9cae', u'Key': 'aws:cloudformation:stack-id'}, {u'Value': '', u'Key': 'CostCenter'}, {u'Value': 'AutoScalingGroup', u'Key': 'aws:cloudformation:logical-id'}]",psec-oauth-test-asg-2018-03-21-12-31-58-SecurityGroup-1TFA894YYJFM8,22,['0.0.0.0/0']
303747409146,i-0ccac849e2a2e44a6,ELK-AWS_2_E1-DEV_2_2,"[{u'Value': '1079910609', u'Key': 'CostCenter'}, {u'Value': 'ELK', u'Key': 'Function'}, {u'Value': 'ELK-AWS_2_E1-DEV_2_2', u'Key': 'Name'}, {u'Value': 'DEV', u'Key': 'Stage'}, {u'Value': 'ELK', u'Key': 'Application'}, {u'Value': 'o2ypt2r Marcel Hillmann', u'Key': 'CreatedBy'}, {u'Value': 'AMOS.ADR.A2-ARCH', u'Key': 'ManagedBy'}]",ELK-AWS_2_E1,22,['0.0.0.0/0']
303747409146,i-0e167db624efd5be6,ovijumpboxrhel,"[{u'Value': 'ovijumpboxrhel', u'Key': 'Name'}]",launch-wizard-12,22,['0.0.0.0/0']
303747409146,i-0965385db10377366,ELK-AWS_2_E1-PROD_2_1.BACKUP,"[{u'Value': 'ELK', u'Key': 'Application'}, {u'Value': 'ELK-AWS_2_E1-PROD_2_1.BACKUP', u'Key': 'Name'}, {u'Value': 'PROD', u'Key': 'Stage'}, {u'Value': 'o2ypt2r Marcel Hillmann', u'Key': 'CreatedBy'}, {u'Value': '1079910609', u'Key': 'CostCenter'}, {u'Value': 'ELK', u'Key': 'Function'}, {u'Value': 'AMOS.ADR.A2-ARCH', u'Key': 'ManagedBy'}, {u'Value': 'Cc', u'Key': 'Environment'}]",ELK-AWS_2_E1-PROD,22,['0.0.0.0/0']
303747409146,i-035c8ac48a505734a,psec-certificate-debug-ws,"[{u'Value': 'psec-certificate-debug-ws', u'Key': 'Name'}]",launch-wizard-16,22,['0.0.0.0/0']
